Metodo,Situacao,Quantidade,Media_Comparacoes,Media_Transferencias,Media_Tempo_Total,Media_Tempo_Criacao_Indice,Media_Tempo_Pesquisa
1,1,100,9.4,10.0,0.000177,0.000000,0.000029
1,1,1000,15.9,20.0,0.001091,0.000000,0.000176
1,1,10000,57.1,100.0,0.006845,0.000000,0.000352
1,1,100000,110.0,200.0,0.072958,0.000000,0.001480
1,1,1000000,510.1,1000.0,0.818776,0.000000,0.003120
2,3,100,4.0,4.0,0.000059,0.000000,0.000033
2,3,1000,7.0,7.0,0.000080,0.000000,0.000052
2,3,10000,12.8,12.8,0.000303,0.000000,0.000272
2,3,100000,20.1,20.1,0.000677,0.000000,0.000639
2,3,1000000,24.4,24.4,0.000692,0.000000,0.000660
3,1,100,8.2,2.0,0.000849,0.000740,0.000001
3,1,1000,10.0,20.0,0.008180,0.007427,0.000002
3,1,10000,16.5,200.0,0.078108,0.071045,0.000003
3,1,100000,16.1,2000.0,0.826402,0.756441,0.000004
3,1,1000000,25.6,20000.0,33.048217,30.723718,0.000075
3,2,100,3.0,2.0,0.000872,0.000741,0.000006
3,2,1000,4.0,20.0,0.006502,0.006011,0.000008
3,2,10000,5.0,200.0,0.068128,0.062811,0.000008
3,2,100000,7.0,2000.0,0.690092,0.639408,0.000008
3,2,1000000,25.1,20000.0,10.932301,10.352205,0.000015
3,3,100,3.0,2.0,0.000985,0.000859,0.000005
3,3,1000,4.0,20.0,0.007905,0.007262,0.000009
3,3,10000,12.7,200.0,0.087756,0.081009,0.000009
3,3,100000,21.7,2000.0,0.945795,0.880028,0.000011
3,3,1000000,29.5,20000.0,21.115196,20.392745,0.000012
4,1,100,8.3,2.0,0.001677,0.001532,0.000001
4,1,1000,7.3,20.0,0.009177,0.008285,0.000002
4,1,10000,16.9,200.0,0.093932,0.084103,0.000004
4,1,100000,15.6,2000.0,0.893322,0.806775,0.000004
4,1,1000000,22.2,20000.0,30.259313,27.895486,0.000087
4,2,100,3.0,2.0,0.001070,0.000942,0.000006
4,2,1000,4.0,20.0,0.007015,0.006477,0.000012
4,2,10000,5.0,200.0,0.067763,0.062564,0.000009
4,2,100000,7.0,2000.0,0.668813,0.620152,0.000009
4,2,1000000,26.1,20000.0,12.213485,11.565963,0.000015
4,3,100,3.0,2.0,0.001061,0.000958,0.000006
4,3,1000,4.0,20.0,0.007984,0.007394,0.000010
4,3,10000,13.6,200.0,0.090408,0.083433,0.000009
4,3,100000,23.6,2000.0,0.937510,0.870178,0.000012
4,3,1000000,29.7,20000.0,24.115108,23.182650,0.000004
